"oid" ,"typname"                              ,"typnamespace" ,"typowner" ,"typlen" ,"typbyval" ,"typtype" ,"typcategory" ,"typispreferred" ,"typisdefined" ,"typdelim" ,"typrelid" ,"typsubscript"              ,"typelem" ,"typarray" ,"typinput"                   ,"typoutput"                   ,"typreceive"                   ,"typsend"                      ,"typmodin"          ,"typmodout"          ,"typanalyze"          ,"typalign" ,"typstorage" ,"typnotnull" ,"typbasetype" ,"typtypmod" ,"typndims" ,"typcollation" ,"typdefaultbin"                                             ,"typdefault"         ,"typacl"
 4097 ,_regrole                               ,            11 ,        10 ,-1       ,false      ,b         ,A             ,false            ,true           ,","        ,         0 ,array_subscript_handler     ,     4096 ,         0 ,array_in                     ,array_out                     ,array_recv                     ,array_send                     ,-                   ,-                    ,array_typanalyze      ,i          ,x            ,false        ,            0 ,-1          ,         0 ,             0 ,                                                            ,                     ,
 4090 ,_regnamespace                          ,            11 ,        10 ,-1       ,false      ,b         ,A             ,false            ,true           ,","        ,         0 ,array_subscript_handler     ,     4089 ,         0 ,array_in                     ,array_out                     ,array_recv                     ,array_send                     ,-                   ,-                    ,array_typanalyze      ,i          ,x            ,false        ,            0 ,-1          ,         0 ,             0 ,                                                            ,                     ,
 2951 ,_uuid                                  ,            11 ,        10 ,-1       ,false      ,b         ,A             ,false            ,true           ,","        ,         0 ,array_subscript_handler     ,     2950 ,         0 ,array_in                     ,array_out                     ,array_recv                     ,array_send                     ,-                   ,-                    ,array_typanalyze      ,i          ,x            ,false        ,            0 ,-1          ,         0 ,             0 ,                                                            ,                     ,
 3221 ,_pg_lsn                                ,            11 ,        10 ,-1       ,false      ,b         ,A             ,false            ,true           ,","        ,         0 ,array_subscript_handler     ,     3220 ,         0 ,array_in                     ,array_out                     ,array_recv                     ,array_send                     ,-                   ,-                    ,array_typanalyze      ,d          ,x            ,false        ,            0 ,-1          ,         0 ,             0 ,                                                            ,                     ,
 3643 ,_tsvector                              ,            11 ,        10 ,-1       ,false      ,b         ,A             ,false            ,true           ,","        ,         0 ,array_subscript_handler     ,     3614 ,         0 ,array_in                     ,array_out                     ,array_recv                     ,array_send                     ,-                   ,-                    ,array_typanalyze      ,i          ,x            ,false        ,            0 ,-1          ,         0 ,             0 ,                                                            ,                     ,
 3644 ,_gtsvector                             ,            11 ,        10 ,-1       ,false      ,b         ,A             ,false            ,true           ,","        ,         0 ,array_subscript_handler     ,     3642 ,         0 ,array_in                     ,array_out                     ,array_recv                     ,array_send                     ,-                   ,-                    ,array_typanalyze      ,i          ,x            ,false        ,            0 ,-1          ,         0 ,             0 ,                                                            ,                     ,
 3645 ,_tsquery                               ,            11 ,        10 ,-1       ,false      ,b         ,A             ,false            ,true           ,","        ,         0 ,array_subscript_handler     ,     3615 ,         0 ,array_in                     ,array_out                     ,array_recv                     ,array_send                     ,-                   ,-                    ,array_typanalyze      ,i          ,x            ,false        ,            0 ,-1          ,         0 ,             0 ,                                                            ,                     ,
 3735 ,_regconfig                             ,            11 ,        10 ,-1       ,false      ,b         ,A             ,false            ,true           ,","        ,         0 ,array_subscript_handler     ,     3734 ,         0 ,array_in                     ,array_out                     ,array_recv                     ,array_send                     ,-                   ,-                    ,array_typanalyze      ,i          ,x            ,false        ,            0 ,-1          ,         0 ,             0 ,                                                            ,                     ,
 3770 ,_regdictionary                         ,            11 ,        10 ,-1       ,false      ,b         ,A             ,false            ,true           ,","        ,         0 ,array_subscript_handler     ,     3769 ,         0 ,array_in                     ,array_out                     ,array_recv                     ,array_send                     ,-                   ,-                    ,array_typanalyze      ,i          ,x            ,false        ,            0 ,-1          ,         0 ,             0 ,                                                            ,                     ,
 3807 ,_jsonb                                 ,            11 ,        10 ,-1       ,false      ,b         ,A             ,false            ,true           ,","        ,         0 ,array_subscript_handler     ,     3802 ,         0 ,array_in                     ,array_out                     ,array_recv                     ,array_send                     ,-                   ,-                    ,array_typanalyze      ,i          ,x            ,false        ,            0 ,-1          ,         0 ,             0 ,                                                            ,                     ,
 4073 ,_jsonpath                              ,            11 ,        10 ,-1       ,false      ,b         ,A             ,false            ,true           ,","        ,         0 ,array_subscript_handler     ,     4072 ,         0 ,array_in                     ,array_out                     ,array_recv                     ,array_send                     ,-                   ,-                    ,array_typanalyze      ,i          ,x            ,false        ,            0 ,-1          ,         0 ,             0 ,                                                            ,                     ,
 2949 ,_txid_snapshot                         ,            11 ,        10 ,-1       ,false      ,b         ,A             ,false            ,true           ,","        ,         0 ,array_subscript_handler     ,     2970 ,         0 ,array_in                     ,array_out                     ,array_recv                     ,array_send                     ,-                   ,-                    ,array_typanalyze      ,d          ,x            ,false        ,            0 ,-1          ,         0 ,             0 ,                                                            ,                     ,
 5039 ,_pg_snapshot                           ,            11 ,        10 ,-1       ,false      ,b         ,A             ,false            ,true           ,","        ,         0 ,array_subscript_handler     ,     5038 ,         0 ,array_in                     ,array_out                     ,array_recv                     ,array_send                     ,-                   ,-                    ,array_typanalyze      ,d          ,x            ,false        ,            0 ,-1          ,         0 ,             0 ,                                                            ,                     ,
 3905 ,_int4range                             ,            11 ,        10 ,-1       ,false      ,b         ,A             ,false            ,true           ,","        ,         0 ,array_subscript_handler     ,     3904 ,         0 ,array_in                     ,array_out                     ,array_recv                     ,array_send                     ,-                   ,-                    ,array_typanalyze      ,i          ,x            ,false        ,            0 ,-1          ,         0 ,             0 ,                                                            ,                     ,
 3907 ,_numrange                              ,            11 ,        10 ,-1       ,false      ,b         ,A             ,false            ,true           ,","        ,         0 ,array_subscript_handler     ,     3906 ,         0 ,array_in                     ,array_out                     ,array_recv                     ,array_send                     ,-                   ,-                    ,array_typanalyze      ,i          ,x            ,false        ,            0 ,-1          ,         0 ,             0 ,                                                            ,                     ,
 3909 ,_tsrange                               ,            11 ,        10 ,-1       ,false      ,b         ,A             ,false            ,true           ,","        ,         0 ,array_subscript_handler     ,     3908 ,         0 ,array_in                     ,array_out                     ,array_recv                     ,array_send                     ,-                   ,-                    ,array_typanalyze      ,d          ,x            ,false        ,            0 ,-1          ,         0 ,             0 ,                                                            ,                     ,
 3911 ,_tstzrange                             ,            11 ,        10 ,-1       ,false      ,b         ,A             ,false            ,true           ,","        ,         0 ,array_subscript_handler     ,     3910 ,         0 ,array_in                     ,array_out                     ,array_recv                     ,array_send                     ,-                   ,-                    ,array_typanalyze      ,d          ,x            ,false        ,            0 ,-1          ,         0 ,             0 ,                                                            ,                     ,
 3913 ,_daterange                             ,            11 ,        10 ,-1       ,false      ,b         ,A             ,false            ,true           ,","        ,         0 ,array_subscript_handler     ,     3912 ,         0 ,array_in                     ,array_out                     ,array_recv                     ,array_send                     ,-                   ,-                    ,array_typanalyze      ,i          ,x            ,false        ,            0 ,-1          ,         0 ,             0 ,                                                            ,                     ,
 3927 ,_int8range                             ,            11 ,        10 ,-1       ,false      ,b         ,A             ,false            ,true           ,","        ,         0 ,array_subscript_handler     ,     3926 ,         0 ,array_in                     ,array_out                     ,array_recv                     ,array_send                     ,-                   ,-                    ,array_typanalyze      ,d          ,x            ,false        ,            0 ,-1          ,         0 ,             0 ,                                                            ,                     ,
 6150 ,_int4multirange                        ,            11 ,        10 ,-1       ,false      ,b         ,A             ,false            ,true           ,","        ,         0 ,array_subscript_handler     ,     4451 ,         0 ,array_in                     ,array_out                     ,array_recv                     ,array_send                     ,-                   ,-                    ,array_typanalyze      ,i          ,x            ,false        ,            0 ,-1          ,         0 ,             0 ,                                                            ,                     ,
 6151 ,_nummultirange                         ,            11 ,        10 ,-1       ,false      ,b         ,A             ,false            ,true           ,","        ,         0 ,array_subscript_handler     ,     4532 ,         0 ,array_in                     ,array_out                     ,array_recv                     ,array_send                     ,-                   ,-                    ,array_typanalyze      ,i          ,x            ,false        ,            0 ,-1          ,         0 ,             0 ,                                                            ,                     ,
 6152 ,_tsmultirange                          ,            11 ,        10 ,-1       ,false      ,b         ,A             ,false            ,true           ,","        ,         0 ,array_subscript_handler     ,     4533 ,         0 ,array_in                     ,array_out                     ,array_recv                     ,array_send                     ,-                   ,-                    ,array_typanalyze      ,d          ,x            ,false        ,            0 ,-1          ,         0 ,             0 ,                                                            ,                     ,
 6153 ,_tstzmultirange                        ,            11 ,        10 ,-1       ,false      ,b         ,A             ,false            ,true           ,","        ,         0 ,array_subscript_handler     ,     4534 ,         0 ,array_in                     ,array_out                     ,array_recv                     ,array_send                     ,-                   ,-                    ,array_typanalyze      ,d          ,x            ,false        ,            0 ,-1          ,         0 ,             0 ,                                                            ,                     ,
 6155 ,_datemultirange                        ,            11 ,        10 ,-1       ,false      ,b         ,A             ,false            ,true           ,","        ,         0 ,array_subscript_handler     ,     4535 ,         0 ,array_in                     ,array_out                     ,array_recv                     ,array_send                     ,-                   ,-                    ,array_typanalyze      ,i          ,x            ,false        ,            0 ,-1          ,         0 ,             0 ,                                                            ,                     ,
 6157 ,_int8multirange                        ,            11 ,        10 ,-1       ,false      ,b         ,A             ,false            ,true           ,","        ,         0 ,array_subscript_handler     ,     4536 ,         0 ,array_in                     ,array_out                     ,array_recv                     ,array_send                     ,-                   ,-                    ,array_typanalyze      ,d          ,x            ,false        ,            0 ,-1          ,         0 ,             0 ,                                                            ,                     ,
 1263 ,_cstring                               ,            11 ,        10 ,-1       ,false      ,b         ,A             ,false            ,true           ,","        ,         0 ,array_subscript_handler     ,     2275 ,         0 ,array_in                     ,array_out                     ,array_recv                     ,array_send                     ,-                   ,-                    ,array_typanalyze      ,i          ,x            ,false        ,            0 ,-1          ,         0 ,             0 ,                                                            ,                     ,
10001 ,pg_attrdef                             ,            11 ,        10 ,-1       ,false      ,c         ,C             ,false            ,true           ,","        ,      2604 ,-                           ,        0 ,     10000 ,record_in                    ,record_out                    ,record_recv                    ,record_send                    ,-                   ,-                    ,-                     ,d          ,x            ,false        ,            0 ,-1          ,         0 ,             0 ,                                                            ,                     ,
10000 ,_pg_attrdef                            ,            11 ,        10 ,-1       ,false      ,b         ,A             ,false            ,true           ,","        ,         0 ,array_subscript_handler     ,    10001 ,         0 ,array_in                     ,array_out                     ,array_recv                     ,array_send                     ,-                   ,-                    ,array_typanalyze      ,d          ,x            ,false        ,            0 ,-1          ,         0 ,             0 ,                                                            ,                     ,
10003 ,pg_constraint                          ,            11 ,        10 ,-1       ,false      ,c         ,C             ,false            ,true           ,","        ,      2606 ,-                           ,        0 ,     10002 ,record_in                    ,record_out                    ,record_recv                    ,record_send                    ,-                   ,-                    ,-                     ,d          ,x            ,false        ,            0 ,-1          ,         0 ,             0 ,                                                            ,                     ,
10002 ,_pg_constraint                         ,            11 ,        10 ,-1       ,false      ,b         ,A             ,false            ,true           ,","        ,         0 ,array_subscript_handler     ,    10003 ,         0 ,array_in                     ,array_out                     ,array_recv                     ,array_send                     ,-                   ,-                    ,array_typanalyze      ,d          ,x            ,false        ,            0 ,-1          ,         0 ,             0 ,                                                            ,                     ,
10005 ,pg_inherits                            ,            11 ,        10 ,-1       ,false      ,c         ,C             ,false            ,true           ,","        ,      2611 ,-                           ,        0 ,     10004 ,record_in                    ,record_out                    ,record_recv                    ,record_send                    ,-                   ,-                    ,-                     ,d          ,x            ,false        ,            0 ,-1          ,         0 ,             0 ,                                                            ,                     ,
10004 ,_pg_inherits                           ,            11 ,        10 ,-1       ,false      ,b         ,A             ,false            ,true           ,","        ,         0 ,array_subscript_handler     ,    10005 ,         0 ,array_in                     ,array_out                     ,array_recv                     ,array_send                     ,-                   ,-                    ,array_typanalyze      ,d          ,x            ,false        ,            0 ,-1          ,         0 ,             0 ,                                                            ,                     ,
10007 ,pg_index                               ,            11 ,        10 ,-1       ,false      ,c         ,C             ,false            ,true           ,","        ,      2610 ,-                           ,        0 ,     10006 ,record_in                    ,record_out                    ,record_recv                    ,record_send                    ,-                   ,-                    ,-                     ,d          ,x            ,false        ,            0 ,-1          ,         0 ,             0 ,                                                            ,                     ,
10006 ,_pg_index                              ,            11 ,        10 ,-1       ,false      ,b         ,A             ,false            ,true           ,","        ,         0 ,array_subscript_handler     ,    10007 ,         0 ,array_in                     ,array_out                     ,array_recv                     ,array_send                     ,-                   ,-                    ,array_typanalyze      ,d          ,x            ,false        ,            0 ,-1          ,         0 ,             0 ,                                                            ,                     ,
10009 ,pg_operator                            ,            11 ,        10 ,-1       ,false      ,c         ,C             ,false            ,true           ,","        ,      2617 ,-                           ,        0 ,     10008 ,record_in                    ,record_out                    ,record_recv                    ,record_send                    ,-                   ,-                    ,-                     ,d          ,x            ,false        ,            0 ,-1          ,         0 ,             0 ,                                                            ,                     ,
10008 ,_pg_operator                           ,            11 ,        10 ,-1       ,false      ,b         ,A             ,false            ,true           ,","        ,         0 ,array_subscript_handler     ,    10009 ,         0 ,array_in                     ,array_out                     ,array_recv                     ,array_send                     ,-                   ,-                    ,array_typanalyze      ,d          ,x            ,false        ,            0 ,-1          ,         0 ,             0 ,                                                            ,                     ,
10011 ,pg_opfamily                            ,            11 ,        10 ,-1       ,false      ,c         ,C             ,false            ,true           ,","        ,      2753 ,-                           ,        0 ,     10010 ,record_in                    ,record_out                    ,record_recv                    ,record_send                    ,-                   ,-                    ,-                     ,d          ,x            ,false        ,            0 ,-1          ,         0 ,             0 ,                                                            ,                     ,
10010 ,_pg_opfamily                           ,            11 ,        10 ,-1       ,false      ,b         ,A             ,false            ,true           ,","        ,         0 ,array_subscript_handler     ,    10011 ,         0 ,array_in                     ,array_out                     ,array_recv                     ,array_send                     ,-                   ,-                    ,array_typanalyze      ,d          ,x            ,false        ,            0 ,-1          ,         0 ,             0 ,                                                            ,                     ,
10013 ,pg_opclass                             ,            11 ,        10 ,-1       ,false      ,c         ,C             ,false            ,true           ,","        ,      2616 ,-                           ,        0 ,     10012 ,record_in                    ,record_out                    ,record_recv                    ,record_send                    ,-                   ,-                    ,-                     ,d          ,x            ,false        ,            0 ,-1          ,         0 ,             0 ,                                                            ,                     ,
10012 ,_pg_opclass                            ,            11 ,        10 ,-1       ,false      ,b         ,A             ,false            ,true           ,","        ,         0 ,array_subscript_handler     ,    10013 ,         0 ,array_in                     ,array_out                     ,array_recv                     ,array_send                     ,-                   ,-                    ,array_typanalyze      ,d          ,x            ,false        ,            0 ,-1          ,         0 ,             0 ,                                                            ,                     ,
10015 ,pg_am                                  ,            11 ,        10 ,-1       ,false      ,c         ,C             ,false            ,true           ,","        ,      2601 ,-                           ,        0 ,     10014 ,record_in                    ,record_out                    ,record_recv                    ,record_send                    ,-                   ,-                    ,-                     ,d          ,x            ,false        ,            0 ,-1          ,         0 ,             0 ,                                                            ,                     ,
10014 ,_pg_am                                 ,            11 ,        10 ,-1       ,false      ,b         ,A             ,false            ,true           ,","        ,         0 ,array_subscript_handler     ,    10015 ,         0 ,array_in                     ,array_out                     ,array_recv                     ,array_send                     ,-                   ,-                    ,array_typanalyze      ,d          ,x            ,false        ,            0 ,-1          ,         0 ,             0 ,                                                            ,                     ,
10017 ,pg_amop                                ,            11 ,        10 ,-1       ,false      ,c         ,C             ,false            ,true           ,","        ,      2602 ,-                           ,        0 ,     10016 ,record_in                    ,record_out                    ,record_recv                    ,record_send                    ,-                   ,-                    ,-                     ,d          ,x            ,false        ,            0 ,-1          ,         0 ,             0 ,                                                            ,                     ,
10016 ,_pg_amop                               ,            11 ,        10 ,-1       ,false      ,b         ,A             ,false            ,true           ,","        ,         0 ,array_subscript_handler     ,    10017 ,         0 ,array_in                     ,array_out                     ,array_recv                     ,array_send                     ,-                   ,-                    ,array_typanalyze      ,d          ,x            ,false        ,            0 ,-1          ,         0 ,             0 ,                                                            ,                     ,
10019 ,pg_amproc                              ,            11 ,        10 ,-1       ,false      ,c         ,C             ,false            ,true           ,","        ,      2603 ,-                           ,        0 ,     10018 ,record_in                    ,record_out                    ,record_recv                    ,record_send                    ,-                   ,-                    ,-                     ,d          ,x            ,false        ,            0 ,-1          ,         0 ,             0 ,                                                            ,                     ,
10018 ,_pg_amproc                             ,            11 ,        10 ,-1       ,false      ,b         ,A             ,false            ,true           ,","        ,         0 ,array_subscript_handler     ,    10019 ,         0 ,array_in                     ,array_out                     ,array_recv                     ,array_send                     ,-                   ,-                    ,array_typanalyze      ,d          ,x            ,false        ,            0 ,-1          ,         0 ,             0 ,                                                            ,                     ,
10021 ,pg_language                            ,            11 ,        10 ,-1       ,false      ,c         ,C             ,false            ,true           ,","        ,      2612 ,-                           ,        0 ,     10020 ,record_in                    ,record_out                    ,record_recv                    ,record_send                    ,-                   ,-                    ,-                     ,d          ,x            ,false        ,            0 ,-1          ,         0 ,             0 ,                                                            ,                     ,
10020 ,_pg_language                           ,            11 ,        10 ,-1       ,false      ,b         ,A             ,false            ,true           ,","        ,         0 ,array_subscript_handler     ,    10021 ,         0 ,array_in                     ,array_out                     ,array_recv                     ,array_send                     ,-                   ,-                    ,array_typanalyze      ,d          ,x            ,false        ,            0 ,-1          ,         0 ,             0 ,                                                            ,                     ,
10023 ,pg_largeobject_metadata                ,            11 ,        10 ,-1       ,false      ,c         ,C             ,false            ,true           ,","        ,      2995 ,-                           ,        0 ,     10022 ,record_in                    ,record_out                    ,record_recv                    ,record_send                    ,-                   ,-                    ,-                     ,d          ,x            ,false        ,            0 ,-1          ,         0 ,             0 ,                                                            ,                     ,
10022 ,_pg_largeobject_metadata               ,            11 ,        10 ,-1       ,false      ,b         ,A             ,false            ,true           ,","        ,         0 ,array_subscript_handler     ,    10023 ,         0 ,array_in                     ,array_out                     ,array_recv                     ,array_send                     ,-                   ,-                    ,array_typanalyze      ,d          ,x            ,false        ,            0 ,-1          ,         0 ,             0 ,                                                            ,                     ,
10025 ,pg_largeobject                         ,            11 ,        10 ,-1       ,false      ,c         ,C             ,false            ,true           ,","        ,      2613 ,-                           ,        0 ,     10024 ,record_in                    ,record_out                    ,record_recv                    ,record_send                    ,-                   ,-                    ,-                     ,d          ,x            ,false        ,            0 ,-1          ,         0 ,             0 ,                                                            ,                     ,
10024 ,_pg_largeobject                        ,            11 ,        10 ,-1       ,false      ,b         ,A             ,false            ,true           ,","        ,         0 ,array_subscript_handler     ,    10025 ,         0 ,array_in                     ,array_out                     ,array_recv                     ,array_send                     ,-                   ,-                    ,array_typanalyze      ,d          ,x            ,false        ,            0 ,-1          ,         0 ,             0 ,                                                            ,                     ,
10027 ,pg_aggregate                           ,            11 ,        10 ,-1       ,false      ,c         ,C             ,false            ,true           ,","        ,      2600 ,-                           ,        0 ,     10026 ,record_in                    ,record_out                    ,record_recv                    ,record_send                    ,-                   ,-                    ,-                     ,d          ,x            ,false        ,            0 ,-1          ,         0 ,             0 ,                                                            ,                     ,
10026 ,_pg_aggregate                          ,            11 ,        10 ,-1       ,false      ,b         ,A             ,false            ,true           ,","        ,         0 ,array_subscript_handler     ,    10027 ,         0 ,array_in                     ,array_out                     ,array_recv                     ,array_send                     ,-                   ,-                    ,array_typanalyze      ,d          ,x            ,false        ,            0 ,-1          ,         0 ,             0 ,                                                            ,                     ,
10029 ,pg_statistic                           ,            11 ,        10 ,-1       ,false      ,c         ,C             ,false            ,true           ,","        ,      2619 ,-                           ,        0 ,     10028 ,record_in                    ,record_out                    ,record_recv                    ,record_send                    ,-                   ,-                    ,-                     ,d          ,x            ,false        ,            0 ,-1          ,         0 ,             0 ,                                                            ,                     ,
10028 ,_pg_statistic                          ,            11 ,        10 ,-1       ,false      ,b         ,A             ,false            ,true           ,","        ,         0 ,array_subscript_handler     ,    10029 ,         0 ,array_in                     ,array_out                     ,array_recv                     ,array_send                     ,-                   ,-                    ,array_typanalyze      ,d          ,x            ,false        ,            0 ,-1          ,         0 ,             0 ,                                                            ,                     ,
10031 ,pg_statistic_ext                       ,            11 ,        10 ,-1       ,false      ,c         ,C             ,false            ,true           ,","        ,      3381 ,-                           ,        0 ,     10030 ,record_in                    ,record_out                    ,record_recv                    ,record_send                    ,-                   ,-                    ,-                     ,d          ,x            ,false        ,            0 ,-1          ,         0 ,             0 ,                                                            ,                     ,
10030 ,_pg_statistic_ext                      ,            11 ,        10 ,-1       ,false      ,b         ,A             ,false            ,true           ,","        ,         0 ,array_subscript_handler     ,    10031 ,         0 ,array_in                     ,array_out                     ,array_recv                     ,array_send                     ,-                   ,-                    ,array_typanalyze      ,d          ,x            ,false        ,            0 ,-1          ,         0 ,             0 ,                                                            ,                     ,
10033 ,pg_statistic_ext_data                  ,            11 ,        10 ,-1       ,false      ,c         ,C             ,false            ,true           ,","        ,      3429 ,-                           ,        0 ,     10032 ,record_in                    ,record_out                    ,record_recv                    ,record_send                    ,-                   ,-                    ,-                     ,d          ,x            ,false        ,            0 ,-1          ,         0 ,             0 ,                                                            ,                     ,
10032 ,_pg_statistic_ext_data                 ,            11 ,        10 ,-1       ,false      ,b         ,A             ,false            ,true           ,","        ,         0 ,array_subscript_handler     ,    10033 ,         0 ,array_in                     ,array_out                     ,array_recv                     ,array_send                     ,-                   ,-                    ,array_typanalyze      ,d          ,x            ,false        ,            0 ,-1          ,         0 ,             0 ,                                                            ,                     ,
10035 ,pg_rewrite                             ,            11 ,        10 ,-1       ,false      ,c         ,C             ,false            ,true           ,","        ,      2618 ,-                           ,        0 ,     10034 ,record_in                    ,record_out                    ,record_recv                    ,record_send                    ,-                   ,-                    ,-                     ,d          ,x            ,false        ,            0 ,-1          ,         0 ,             0 ,                                                            ,                     ,
10034 ,_pg_rewrite                            ,            11 ,        10 ,-1       ,false      ,b         ,A             ,false            ,true           ,","        ,         0 ,array_subscript_handler     ,    10035 ,         0 ,array_in                     ,array_out                     ,array_recv                     ,array_send                     ,-                   ,-                    ,array_typanalyze      ,d          ,x            ,false        ,            0 ,-1          ,         0 ,             0 ,                                                            ,                     ,
10037 ,pg_trigger                             ,            11 ,        10 ,-1       ,false      ,c         ,C             ,false            ,true           ,","        ,      2620 ,-                           ,        0 ,     10036 ,record_in                    ,record_out                    ,record_recv                    ,record_send                    ,-                   ,-                    ,-                     ,d          ,x            ,false        ,            0 ,-1          ,         0 ,             0 ,                                                            ,                     ,
10036 ,_pg_trigger                            ,            11 ,        10 ,-1       ,false      ,b         ,A             ,false            ,true           ,","        ,         0 ,array_subscript_handler     ,    10037 ,         0 ,array_in                     ,array_out                     ,array_recv                     ,array_send                     ,-                   ,-                    ,array_typanalyze      ,d          ,x            ,false        ,            0 ,-1          ,         0 ,             0 ,                                                            ,                     ,
10039 ,pg_event_trigger                       ,            11 ,        10 ,-1       ,false      ,c         ,C             ,false            ,true           ,","        ,      3466 ,-                           ,        0 ,     10038 ,record_in                    ,record_out                    ,record_recv                    ,record_send                    ,-                   ,-                    ,-                     ,d          ,x            ,false        ,            0 ,-1          ,         0 ,             0 ,                                                            ,                     ,
10038 ,_pg_event_trigger                      ,            11 ,        10 ,-1       ,false      ,b         ,A             ,false            ,true           ,","        ,         0 ,array_subscript_handler     ,    10039 ,         0 ,array_in                     ,array_out                     ,array_recv                     ,array_send                     ,-                   ,-                    ,array_typanalyze      ,d          ,x            ,false        ,            0 ,-1          ,         0 ,             0 ,                                                            ,                     ,
10041 ,pg_description                         ,            11 ,        10 ,-1       ,false      ,c         ,C             ,false            ,true           ,","        ,      2609 ,-                           ,        0 ,     10040 ,record_in                    ,record_out                    ,record_recv                    ,record_send                    ,-                   ,-                    ,-                     ,d          ,x            ,false        ,            0 ,-1          ,         0 ,             0 ,                                                            ,                     ,
10040 ,_pg_description                        ,            11 ,        10 ,-1       ,false      ,b         ,A             ,false            ,true           ,","        ,         0 ,array_subscript_handler     ,    10041 ,         0 ,array_in                     ,array_out                     ,array_recv                     ,array_send                     ,-                   ,-                    ,array_typanalyze      ,d          ,x            ,false        ,            0 ,-1          ,         0 ,             0 ,                                                            ,                     ,
10043 ,pg_cast                                ,            11 ,        10 ,-1       ,false      ,c         ,C             ,false            ,true           ,","        ,      2605 ,-                           ,        0 ,     10042 ,record_in                    ,record_out                    ,record_recv                    ,record_send                    ,-                   ,-                    ,-                     ,d          ,x            ,false        ,            0 ,-1          ,         0 ,             0 ,                                                            ,                     ,
10042 ,_pg_cast                               ,            11 ,        10 ,-1       ,false      ,b         ,A             ,false            ,true           ,","        ,         0 ,array_subscript_handler     ,    10043 ,         0 ,array_in                     ,array_out                     ,array_recv                     ,array_send                     ,-                   ,-                    ,array_typanalyze      ,d          ,x            ,false        ,            0 ,-1          ,         0 ,             0 ,                                                            ,                     ,
10045 ,pg_enum                                ,            11 ,        10 ,-1       ,false      ,c         ,C             ,false            ,true           ,","        ,      3501 ,-                           ,        0 ,     10044 ,record_in                    ,record_out                    ,record_recv                    ,record_send                    ,-                   ,-                    ,-                     ,d          ,x            ,false        ,            0 ,-1          ,         0 ,             0 ,                                                            ,                     ,
10044 ,_pg_enum                               ,            11 ,        10 ,-1       ,false      ,b         ,A             ,false            ,true           ,","        ,         0 ,array_subscript_handler     ,    10045 ,         0 ,array_in                     ,array_out                     ,array_recv                     ,array_send                     ,-                   ,-                    ,array_typanalyze      ,d          ,x            ,false        ,            0 ,-1          ,         0 ,             0 ,                                                            ,                     ,
10047 ,pg_namespace                           ,            11 ,        10 ,-1       ,false      ,c         ,C             ,false            ,true           ,","        ,      2615 ,-                           ,        0 ,     10046 ,record_in                    ,record_out                    ,record_recv                    ,record_send                    ,-                   ,-                    ,-                     ,d          ,x            ,false        ,            0 ,-1          ,         0 ,             0 ,                                                            ,                     ,
10046 ,_pg_namespace                          ,            11 ,        10 ,-1       ,false      ,b         ,A             ,false            ,true           ,","        ,         0 ,array_subscript_handler     ,    10047 ,         0 ,array_in                     ,array_out                     ,array_recv                     ,array_send                     ,-                   ,-                    ,array_typanalyze      ,d          ,x            ,false        ,            0 ,-1          ,         0 ,             0 ,                                                            ,                     ,
10049 ,pg_conversion                          ,            11 ,        10 ,-1       ,false      ,c         ,C             ,false            ,true           ,","        ,      2607 ,-                           ,        0 ,     10048 ,record_in                    ,record_out                    ,record_recv                    ,record_send                    ,-                   ,-                    ,-                     ,d          ,x            ,false        ,            0 ,-1          ,         0 ,             0 ,                                                            ,                     ,
